Moisture Level,Raw ADC,Time in s,Time of Day,Date
NEW TEST
0.0,0,664,12:45:32,30/04
0.37,12,665,12:45:33,30/04
0.09,3,666,12:45:34,30/04
0.0,0,667,12:45:35,30/04
0.0,0,668,12:45:36,30/04
0.0,0,669,12:45:37,30/04
0.25,8,670,12:45:38,30/04
0.15,5,671,12:45:39,30/04
0.0,0,672,12:45:40,30/04
0.0,0,673,12:45:41,30/04
0.0,0,674,12:45:42,30/04
0.0,0,675,12:45:43,30/04
0.31,10,676,12:45:44,30/04
0.09,3,677,12:45:45,30/04
0.0,0,678,12:45:46,30/04
0.0,0,679,12:45:47,30/04
0.0,0,680,12:45:48,30/04
0.34,11,681,12:45:49,30/04
0.19,6,682,12:45:50,30/04
0.0,0,683,12:45:51,30/04
0.0,0,684,12:45:52,30/04
0.0,0,685,12:45:53,30/04
0.28,9,686,12:45:54,30/04
0.15,5,687,12:45:55,30/04
0.0,0,688,12:45:56,30/04
0.0,0,689,12:45:57,30/04
0.0,0,690,12:45:58,30/04
0.0,0,691,12:45:59,30/04
0.37,12,692,12:46:00,30/04
0.0,0,693,12:46:01,30/04
0.0,0,694,12:46:02,30/04
0.0,0,695,12:46:03,30/04
0.0,0,696,12:46:04,30/04
0.28,9,697,12:46:05,30/04
0.06,2,698,12:46:06,30/04
0.0,0,699,12:46:07,30/04
0.0,0,700,12:46:08,30/04
0.0,0,701,12:46:09,30/04
0.19,6,702,12:46:10,30/04
0.19,6,703,12:46:11,30/04
0.0,0,704,12:46:12,30/04
0.0,0,705,12:46:13,30/04
0.0,0,706,12:46:14,30/04
0.0,0,707,12:46:15,30/04
0.0,0,708,12:46:16,30/04
0.37,12,709,12:46:17,30/04
0.15,5,710,12:46:18,30/04
0.0,0,711,12:46:19,30/04
0.0,0,712,12:46:20,30/04
0.0,0,713,12:46:21,30/04
0.0,0,714,12:46:22,30/04
0.31,10,715,12:46:23,30/04
0.22,7,716,12:46:24,30/04
0.0,0,717,12:46:25,30/04
0.0,0,718,12:46:26,30/04
0.0,0,719,12:46:27,30/04
0.0,0,720,12:46:28,30/04
0.0,0,721,12:46:29,30/04
0.37,12,722,12:46:30,30/04
0.06,2,723,12:46:31,30/04
0.0,0,724,12:46:32,30/04
0.0,0,725,12:46:34,30/04
0.0,0,726,12:46:35,30/04
0.0,0,727,12:46:36,30/04
0.22,7,728,12:46:37,30/04
0.34,11,729,12:46:38,30/04
0.15,5,730,12:46:39,30/04
0.0,0,731,12:46:40,30/04
0.0,0,732,12:46:41,30/04
0.0,0,733,12:46:42,30/04
0.0,0,734,12:46:43,30/04
0.0,0,735,12:46:44,30/04
0.37,12,736,12:46:45,30/04
0.19,6,737,12:46:46,30/04
0.0,0,738,12:46:47,30/04
0.0,0,739,12:46:48,30/04
0.0,0,740,12:46:49,30/04
0.0,0,741,12:46:50,30/04
0.0,0,742,12:46:51,30/04
0.28,9,743,12:46:52,30/04
0.28,9,744,12:46:53,30/04
0.09,3,745,12:46:54,30/04
0.0,0,746,12:46:55,30/04
0.0,0,747,12:46:56,30/04
0.0,0,748,12:46:57,30/04
0.0,0,749,12:46:58,30/04
0.0,0,750,12:46:59,30/04
0.34,11,751,12:47:00,30/04
0.19,6,752,12:47:01,30/04
0.0,0,753,12:47:02,30/04
0.0,0,754,12:47:03,30/04
0.0,0,755,12:47:04,30/04
0.0,0,756,12:47:05,30/04
0.0,0,757,12:47:06,30/04
0.31,10,758,12:47:07,30/04
0.0,0,759,12:47:08,30/04
0.0,0,760,12:47:09,30/04
0.0,0,761,12:47:10,30/04
0.0,0,762,12:47:11,30/04
0.0,0,763,12:47:12,30/04
0.4,13,764,12:47:13,30/04
0.12,4,765,12:47:14,30/04
0.0,0,766,12:47:15,30/04
0.0,0,767,12:47:16,30/04
0.0,0,768,12:47:17,30/04
